source_id,dataset,group_id,split,image_path,label_path,modality_claim,height,width,instance_count,furniture_fraction
f78844f8ce,emps,10.1016.j.chemosphere.2019.06.008,validation,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\f78844f8ce.png,,electron microscopy,512,680,1,0.12911017922794119
f6f3758bf4,emps,10.1016.j.chemosphere.2019.06.008,validation,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\f6f3758bf4.png,,electron microscopy,512,684,1,0.14625879477339182
4ec7671d11,emps,10.1016.j.chemosphere.2019.05.269,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\4ec7671d11.png,,electron microscopy,512,630,2,0.14172557043650794
8b40ed2a82,emps,10.1016.j.ceramint.2020.05.085,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\8b40ed2a82.png,,electron microscopy,512,640,1,0.126861572265625
ddffc403e3,emps,10.1016.j.ceramint.2020.02.278,test,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\ddffc403e3.png,,electron microscopy,512,648,35,0.12829439139660495
d722a3a383,emps,10.1016.j.ceramint.2020.02.165,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\d722a3a383.png,,electron microscopy,512,512,15,0.12435150146484375
c6ea896731,emps,10.1016.j.ceramint.2020.02.164,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\c6ea896731.png,,electron microscopy,512,769,2,0.13059523325747724
ce6d981687,emps,10.1016.j.ceramint.2019.12.153,validation,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\ce6d981687.png,,electron microscopy,512,766,4,0.13371766889686684
dc20484021,emps,10.1016.j.ceramint.2019.12.153,validation,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\dc20484021.png,,electron microscopy,512,751,1,0.1312962924434088
4d951b622f,emps,10.1016.j.ceramint.2019.10.198,test,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\4d951b622f.png,,electron microscopy,512,768,5,0.1196441650390625
0384c4e782,emps,10.1016.j.ceramint.2019.10.198,test,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\0384c4e782.png,,electron microscopy,512,767,5,0.12275658001955672
9246d32fe0,emps,10.1016.j.ceramint.2019.10.198,test,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\9246d32fe0.png,,electron microscopy,512,766,48,0.11925026517624021
22d5aab090,emps,10.1016.j.ceramint.2019.10.198,test,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\22d5aab090.png,,electron microscopy,512,772,60,0.11752904387953368
78b42bc5e8,emps,10.1016.j.ceramint.2019.10.126,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\78b42bc5e8.png,,electron microscopy,512,636,174,0.12647712755503146
2e4a3ab627,emps,10.1016.j.ceramint.2019.10.044,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\2e4a3ab627.png,,electron microscopy,512,774,30,0.12993075742894056
b996f341bd,emps,10.1016.j.ceramint.2019.06.060,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\b996f341bd.png,,electron microscopy,512,730,22,0.15318386130136985
8e68b05e0e,emps,10.1016.j.ceramint.2019.01.145,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\8e68b05e0e.png,,electron microscopy,512,620,5,0.12963709677419355
00655d9628,emps,10.1016.j.cej.2020.125371,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\00655d9628.png,,electron microscopy,515,512,4,0.13120449029126213
1d67fb3321,emps,10.1016.j.cej.2020.125371,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\1d67fb3321.png,,electron microscopy,512,512,6,0.131744384765625
1206963ed7,emps,10.1016.j.cej.2020.125371,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\1206963ed7.png,,electron microscopy,513,512,8,0.1290547331871345
d8eff0e0bd,emps,10.1016.j.cej.2020.125280,validation,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\d8eff0e0bd.png,,electron microscopy,512,655,2,0.1358957538167939
ce46819633,emps,10.1016.j.cej.2020.125194,validation,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\ce46819633.png,,electron microscopy,512,765,6,0.13467371323529412
f58490bdaf,emps,10.1016.j.cej.2020.125194,validation,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\f58490bdaf.png,,electron microscopy,512,770,4,0.1352247362012987
42750053e0,emps,10.1016.j.cej.2020.125117,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\42750053e0.png,,electron microscopy,512,512,5,0.12258148193359375
9928dad0ac,emps,10.1016.j.cej.2020.124707,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\9928dad0ac.png,,electron microscopy,512,512,12,0.1291351318359375
c61a50a061,emps,10.1016.j.cej.2020.124676,test,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\c61a50a061.png,,electron microscopy,512,598,125,0.12604841659698995
60c63e2383,emps,10.1016.j.cej.2020.124676,test,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\60c63e2383.png,,electron microscopy,512,614,162,0.11991996640879479
2242820128,emps,10.1016.j.cej.2020.124096,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\2242820128.png,,electron microscopy,512,682,10,0.13770963159824046
4cd9e65aae,emps,10.1016.j.cej.2020.124096,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\4cd9e65aae.png,,electron microscopy,512,682,23,0.1393190982404692
78847f96ee,emps,10.1016.j.cej.2019.123984,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\78847f96ee.png,,electron microscopy,512,690,18,0.13544214221014492
f77a745ba2,emps,10.1016.j.cej.2019.123835,test,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\f77a745ba2.png,,electron microscopy,512,691,1,0.1348419410274964
7a48f5b4d5,emps,10.1016.j.cej.2019.123671,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\7a48f5b4d5.png,,electron microscopy,512,513,1,0.12535788255360625
5737e0c2c7,emps,10.1016.j.cej.2019.123671,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\5737e0c2c7.png,,electron microscopy,512,513,8,0.1286549707602339
7ea28e7e54,emps,10.1016.j.cej.2019.122990,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\7ea28e7e54.png,,electron microscopy,512,776,42,0.12862183875644329
9fa90de188,emps,10.1016.j.cej.2019.122990,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\9fa90de188.png,,electron microscopy,512,773,38,0.20903743531694696
226dc58f03,emps,10.1016.j.cej.2019.122990,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\226dc58f03.png,,electron microscopy,512,778,32,0.12881085314910026
3a9246e0ee,emps,10.1016.j.cej.2019.122990,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\3a9246e0ee.png,,electron microscopy,512,772,24,0.18214914588730569
891f96f60d,emps,10.1016.j.cej.2019.122990,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\891f96f60d.png,,electron microscopy,512,777,13,0.1321036438223938
f659af19da,emps,10.1016.j.cej.2019.122990,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\f659af19da.png,,electron microscopy,512,768,35,0.1298955281575521
8e50748a7b,emps,10.1016.j.cej.2019.122855,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\8e50748a7b.png,,electron microscopy,512,674,6,0.12391332066023739
f0522acde8,emps,10.1016.j.cej.2019.122855,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\f0522acde8.png,,electron microscopy,512,679,15,0.1274478783136966
9c9d1af243,emps,10.1016.j.cej.2019.122852,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\9c9d1af243.png,,electron microscopy,512,513,1,0.12559774000974658
aa968ec1b2,emps,10.1016.j.cej.2019.122762,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\aa968ec1b2.png,,electron microscopy,512,741,2,0.1484269568151147
864a2a6ccf,emps,10.1016.j.cej.2019.122595,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\864a2a6ccf.png,,electron microscopy,512,656,1,0.12906702553353658
c88cae3e95,emps,10.1016.j.cej.2019.122389,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\c88cae3e95.png,,electron microscopy,512,628,7,0.1632134504378981
e1adc2ba25,emps,10.1016.j.cej.2019.122175,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\e1adc2ba25.png,,electron microscopy,512,701,16,0.13309390602710414
b4ab2ea927,emps,10.1016.j.cej.2019.122175,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\b4ab2ea927.png,,electron microscopy,512,699,20,0.1325638188483548
fab3633337,emps,10.1016.j.cej.2019.03.083,validation,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\fab3633337.png,,electron microscopy,517,512,1,0.13535874032882012
0a55e7c93f,emps,10.1016.j.cej.2018.10.213,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\0a55e7c93f.png,,electron microscopy,512,683,24,0.12940668466325037
f447a36b0b,emps,10.1016.j.cclet.2019.07.024,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\f447a36b0b.png,,electron microscopy,512,658,9,0.13198138297872342
8cee575b39,emps,10.1016.j.cclet.2019.02.006,validation,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\8cee575b39.png,,electron microscopy,512,595,16,0.2565684086134454
4e13b5c5f8,emps,10.1016.j.cclet.2019.01.002,test,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\4e13b5c5f8.png,,electron microscopy,512,557,7,0.13962564519748655
bc5529f7ca,emps,10.1016.j.carbpol.2020.116105,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\bc5529f7ca.png,,electron microscopy,512,682,3,0.13366019061583578
48f3a148f6,emps,10.1016.j.carbpol.2019.115709,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\48f3a148f6.png,,electron microscopy,512,779,5,0.1671990332156611
e211d9d7ac,emps,10.1016.j.carbpol.2019.115709,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\e211d9d7ac.png,,electron microscopy,512,772,5,0.21959247490284975
5a25d179cc,emps,10.1016.j.carbpol.2019.115252,test,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\5a25d179cc.png,,electron microscopy,512,733,4,0.12686519440654842
03cd0b2741,emps,10.1016.j.carbpol.2019.115128,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\03cd0b2741.png,,electron microscopy,512,514,4,0.13285049854085604
d29d644539,emps,10.1016.j.carbpol.2018.11.033,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\d29d644539.png,,electron microscopy,512,589,3,0.12536144418505943
513158cf83,emps,10.1016.j.carbpol.2018.11.033,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\513158cf83.png,,electron microscopy,512,612,4,0.12907539317810457
5addfe7111,emps,10.1016.j.carbpol.2018.09.089,train,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\5addfe7111.png,,electron microscopy,512,768,5,0.12285868326822917
ffae2f363e,emps,10.1016.j.carbon.2020.05.073,test,C:\Users\user1\Desktop\Homework\בוטקאמפ\AMAT_4_Chana\src\data\..\..\src\data\sources\..\..\..\..\AMAT\amat4-week1\emps\images\ffae2f363e.png,,electron microscopy,512,520,1,0.13493088942307693
