image_id,doi,split,excluded_fraction,eligible
00655d9628,10.1016.j.cej.2020.125371,train,0.1312,True
0113230c21,10.1016.j.bios.2019.111960,validation,0.1237,True
0144266d21,10.1016.j.biomaterials.2019.119479,train,0.1225,True
01ac659240,10.1016.j.biopha.2016.07.011,train,0.1329,True
027f25010a,10.1016.j.nanoso.2019.100288,train,0.127,True
0289bd97e6,10.1016.j.apsusc.2016.11.098,train,0.129,True
032bd4a6b1,10.1016.j.apmt.2019.07.017,train,0.1299,True
0384c4e782,10.1016.j.ceramint.2019.10.198,test,0.1228,False
03a1d18cc6,10.1016.j.saa.2019.117890,train,0.1268,True
03cd0b2741,10.1016.j.carbpol.2019.115128,train,0.1329,True
04dbda93f9,10.1016.j.porgcoat.2019.05.018,test,0.1284,False
065d8e352c,10.1016.j.biomaterials.2017.07.005,train,0.1284,True
06f605c0b1,10.1016.j.addma.2019.100919,train,0.1203,True
07330c8ea1,10.1016.j.reactfunctpolym.2017.09.005,train,0.122,True
08549eb98f,10.1016.j.mtchem.2016.11.005,train,0.1335,True
0a30487a4e,10.1016.j.apsusc.2020.145354,train,0.1315,True
0a55e7c93f,10.1016.j.cej.2018.10.213,train,0.1294,True
0ca41ed5b8,10.1016.j.apcatb.2016.09.016,train,0.1318,True
0e41d62d5d,10.1016.j.vacuum.2019.04.061,train,0.1319,True
0fa38de2c7,10.1016.j.saa.2019.117890,train,0.1217,True
10d85f70bd,10.1016.j.orgel.2018.05.061,train,0.123,True
1206963ed7,10.1016.j.cej.2020.125371,train,0.1291,True
132788669c,10.1016.j.saa.2020.118343,test,0.1206,False
15a3ba1c51,10.1016.j.apsusc.2020.145360,validation,0.1437,True
1700be1235,10.1016.j.triboint.2019.106071,train,0.1899,True
1736c60650,10.1016.j.matdes.2016.06.107,train,0.1279,True
173c98ef82,10.1016.j.biomaterials.2019.119264,train,0.1307,True
17f1cecc7a,10.1016.j.ultramic.2018.10.011,test,0.1321,False
19b0afdf81,10.1016.j.jhazmat.2020.122348,train,0.1266,True
1a29c5b84f,10.1016.j.biomaterials.2017.07.027,validation,0.1311,True
1b3c6536a3,10.1016.j.ijbiomac.2019.01.142,train,0.1849,True
1b935635dd,10.1016.j.apsusc.2018.07.051,train,0.1323,True
1bed563906,10.1016.j.cap.2019.11.012,validation,0.1815,True
1bf56ce626,10.1016.j.cej.2015.12.020,train,0.3452,True
1cb46bfdd5,10.1016.j.biomaterials.2017.04.028,train,0.1316,True
1d67fb3321,10.1016.j.cej.2020.125371,train,0.1317,True
1e011bd992,10.1016.j.polymer.2019.122024,train,0.3978,True
1e0f5d817e,10.1016.j.orgel.2016.06.017,train,0.1341,True
1ecd5c901c,10.1016.j.yofte.2019.101962,train,0.2187,True
1ff313314c,10.1016.j.actbio.2020.04.055,train,0.12,True
207bb15702,10.1016.j.apsusc.2020.145360,validation,0.1323,True
208b16bbb7,10.1016.j.nano.2017.01.007,test,0.1279,False
21308b3614,10.1016.j.solidstatesciences.2020.106179,train,0.1497,True
2181ebb330,10.1016.j.cej.2018.06.063,test,0.1235,False
2242820128,10.1016.j.cej.2020.124096,train,0.1377,True
226dc58f03,10.1016.j.cej.2019.122990,train,0.1288,True
22c776b059,10.1016.j.apsusc.2020.145335,train,0.1474,True
22d5aab090,10.1016.j.ceramint.2019.10.198,test,0.1175,False
2387be5eaf,10.1016.j.memsci.2016.10.040,test,0.1816,False
23d581d8a9,10.1016.j.apsusc.2020.145354,train,0.1304,True
245e1a4826,10.1016.j.apcatb.2016.08.033,train,0.1247,True
2556313831,10.1016.j.foodchem.2020.126575,train,0.1324,True
257e44104b,10.1016.j.bios.2018.10.033,test,0.1297,False
25af264996,10.1016.j.synthmet.2019.116229,train,0.1327,True
26e5f24689,10.1016.j.apcatb.2018.11.039,train,0.13,True
2807b90ea9,10.1016.j.carbpol.2016.07.018,train,0.1446,True
2897b777fe,10.1016.j.apsusc.2020.145778,train,0.2084,True
28d7e31165,10.1016.j.actbio.2016.11.037,train,0.1364,True
291898b7c6,10.1016.j.tsf.2019.02.044,train,0.1243,True
294049f7a8,10.1016.j.jlumin.2017.03.011,test,0.1457,False
296a52bf09,10.1016.j.solidstatesciences.2020.106179,train,0.1317,True
2b9ccd5679,10.1016.j.snb.2020.127964,train,0.1251,True
2bc87a8698,10.1016.j.actbio.2016.09.041,train,0.1354,True
2bf4aa0195,10.1016.j.jallcom.2019.152156,train,0.1326,True
2c6c108b4d,10.1016.j.talanta.2016.10.100,train,0.127,True
2cd773d930,10.1016.j.bios.2016.09.003,test,0.1298,False
2d1a6c5ce4,10.1016.j.carbpol.2016.07.018,train,0.1457,True
2d6f268052,10.1016.j.bios.2018.10.033,test,0.1258,False
2daa27a6df,10.1016.j.snb.2019.127107,train,0.1294,True
2dadb1ced1,10.1016.j.apcata.2019.117378,train,0.1335,True
2e4a3ab627,10.1016.j.ceramint.2019.10.044,train,0.1299,True
2e5dab1969,10.1016.j.msec.2019.110602,train,0.1262,True
2ee0518d7a,10.1016.j.jiec.2019.05.007,train,0.1314,True
2fb8fe344c,10.1016.j.polymer.2020.122219,test,0.1238,False
3027f9ffe7,10.1016.j.ijpharm.2018.06.035,train,0.146,True
30da4fa249,10.1016.j.bios.2019.111800,train,0.1316,True
31121ca5cf,10.1016.j.snb.2017.01.137,test,0.1251,False
31a727b95d,10.1016.j.ijbiomac.2016.08.050,train,0.1304,True
31f17306c8,10.1016.j.ijleo.2019.163676,train,0.1327,True
33f8a59619,10.1016.j.ijleo.2020.164180,train,0.1473,True
3430b20071,10.1016.j.applthermaleng.2016.12.054,train,0.1238,True
345fb7ab68,10.1016.j.foodhyd.2020.105789,test,0.1188,False
34864e691e,10.1016.j.electacta.2016.10.070,train,0.1317,True
34f4fb273d,10.1016.j.chemosphere.2017.12.064,test,0.1268,False
3537f150cd,10.1016.j.porgcoat.2017.04.050,validation,0.1205,True
3692286ecf,10.1016.j.aca.2020.03.052,validation,0.1278,True
36de69b2c0,10.1016.j.snb.2020.127831,train,0.126,True
37ce835fb2,10.1016.j.snb.2016.10.018,train,0.1659,True
391ef00939,10.1016.j.snb.2017.01.137,test,0.1643,False
398ae34c19,10.1016.j.apsusc.2020.145360,validation,0.1309,True
39b0dc1f52,10.1016.j.matdes.2017.08.026,test,0.1536,False
39b3a6db5e,10.1016.j.ajps.2020.04.001,test,0.1342,False
39dda96b25,10.1016.j.polymertesting.2019.106110,train,0.1187,True
39e18a8f4c,10.1016.j.porgcoat.2020.105742,train,0.1245,True
3a0a2f5edf,10.1016.j.actbio.2020.04.055,train,0.1242,True
3a8af6d3f4,10.1016.j.bcab.2020.101627,train,0.1267,True
3a9246e0ee,10.1016.j.cej.2019.122990,train,0.1821,True
3ac1920a79,10.1016.j.ijhydene.2016.05.184,train,0.1284,True
3b18ef9b73,10.1016.j.snb.2016.07.021,test,0.1265,False
3bbd05202e,10.1016.j.snb.2018.12.134,validation,0.1332,True
3d103080e6,10.1016.j.nano.2018.08.003,test,0.1276,False
3d1937b05c,10.1016.j.jallcom.2016.11.216,test,0.13,False
